id,year,length,beam,draft,displacement,cM,cWP,speed,num_shafts,num_blades,dprop,bulbous_bow,prop_speed,shp
Texas (BB-35) post-rebuild,1925,172.2,32.31,8.72,30063.9,,,10.14,2,3,,0,,18943
Nevada (BB-36),1912,175.25,29.02,8.42,27658.91,0.984,,10.75,2,3,,0,,19606
Nevada (BB-36) post-rebuild,1927,175.25,32.89,8.78,32589.8,0.98,,10.4,2,3,,0,,23277
Pennslyvania (BB-38),1912,182.87,29.58,8.65,31306.53,0.976,,10.83,4,3,,0,,21899
Pennslyvania (BB-38) post-rebuild,1929,182.87,32.38,9.45,38060.22,0.984,,10.82,4,3,,0,,26254
New Mexico (BB-40),1915,182.87,29.68,9.05,32513.6,0.979,,10.84,4,3,,0,,23264
New Mexico (BB-40) post-rebuild,1931,182.87,32.36,9.45,37578.61,0.991,,11.21,4,3,,0,,27580
Tennessee (BB-43),1916,182.87,29.71,9.53,32818.42,0.977,,11,4,3,,0,,22080
Tennessee (BB-43) post-rebuild,1942,182.87,34.75,9.91,40133.98,,,10.6,4,3,,0,,24236
West Virginia (BB-48),1919,182.87,29.72,9.65,33821.26,0.977,,10.85,4,3,,0,,24823
Washington (BB-56),1937,217.51,33.02,9.85,43982.77,1.002,,13.89,4,3,,1,3.3183,90231
South Dakota (BB-57),1939,202.99,32.97,10.38,43425.98,0.994,,13.93,4,3,,1,,99232
Iowa (BB-61),1940,262.12,32.97,10.69,54282.47,0.996,,15.95,4,4.5,5.37,1,3.3833,162567
Yamato,1941,256,38.9,10.86,"70,209",,,14.13,4,3,6,1,,112923
